Date,Carbon_EU,Coal_India
2022-01-03,27.368288040161133,112.75669860839844
2022-01-04,28.19409942626953,111.0867691040039
2022-01-05,28.572385787963867,111.5949935913086
2022-01-06,28.160324096679688,112.28475189208984
2022-01-07,27.822568893432617,113.9546890258789
2022-01-10,26.589763641357422,116.67742919921875
2022-01-11,26.834636688232422,115.11638641357422
2022-01-12,26.395553588867188,115.69725036621094
2022-01-13,26.610872268676758,119.6179428100586
2022-01-14,27.239940643310547,119.6179428100586
2022-01-17,27.239940643310547,118.85558319091797
2022-01-18,27.113283157348633,116.75001525878906
2022-01-19,26.598207473754883,119.00080108642578
2022-01-20,27.814123153686523,119.83576202392578
2022-01-21,27.5320987701416,115.26160430908203
2022-01-24,27.442596435546875,113.48275756835938
2022-01-25,28.50652313232422,117.00414276123047
2022-01-26,28.709177017211914,117.00414276123047
2022-01-27,28.751394271850586,116.56851959228516
2022-01-28,28.41364288330078,117.3671646118164
2022-01-31,29.16514778137207,116.02396392822266
2022-02-01,29.075637817382812,118.38365936279297
2022-02-02,30.820144653320312,118.96450805664062
2022-02-03,31.11568260192871,117.11305236816406
2022-02-04,31.808074951171875,116.45960235595703
2022-02-07,31.495655059814453,116.85894012451172
2022-02-08,31.419660568237305,116.13286590576172
2022-02-09,30.20374298095703,122.41327667236328
2022-02-10,29.91665267944336,122.01394653320312
2022-02-11,30.567676544189453,120.8885498046875
2022-02-14,29.823768615722656,117.3671646118164
2022-02-15,29.477567672729492,118.81929016113281
2022-02-16,29.182035446166992,118.96450805664062
2022-02-17,27.873231887817383,118.38365936279297
2022-02-18,29.038488388061523,121.46939849853516
2022-02-21,29.038488388061523,120.64612579345703
2022-02-22,29.131370544433594,119.67317962646484
2022-02-23,30.820144653320312,118.62539672851562
2022-02-24,27.974557876586914,112.26375579833984
2022-02-25,28.312313079833984,122.33006286621094
2022-02-28,26.353336334228516,126.8954849243164
2022-03-01,22.055404663085938,126.8954849243164
2022-03-02,21.86119270324707,138.30894470214844
2022-03-03,21.025251388549805,141.4149169921875
2022-03-04,20.873260498046875,135.4649200439453
2022-03-07,17.97701072692871,141.22781372070312
2022-03-08,21.303897857666016,141.56460571289062
2022-03-09,23.0939998626709,139.6935272216797
2022-03-10,23.685070037841797,133.9306640625
2022-03-11,24.233922958374023,136.02626037597656
2022-03-14,24.563234329223633,134.9784698486328
